"picture src","balance-text","layout 2","layout 3"
"https://www.moma.org/media/W1siZiIsIjU4MTE5NSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=44db4b349273af85","","Ralph Lemon",""
"https://www.moma.org/media/W1siZiIsIjU2ODY1NSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=783876dab0cd6fd3","","Julian Lethbridge","Machine Room"
"https://www.moma.org/media/W1siZiIsIjU2ODYzOCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=ba0bcef2309fa050","","Julian Lethbridge",""
"https://www.moma.org/media/W1siZiIsIjU5MTYzNCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=f83c476e8a200918","","Eddie Martinez","Untitled"
"https://www.moma.org/media/W1siZiIsIjU5MTYzNSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=02dced5a91063c9b","","Eddie Martinez","Untitled"
"https://www.moma.org/media/W1siZiIsIjU4OTgyMyJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=c692e9de7900fcd6","","Eddie Martinez","Untitled"
"https://www.moma.org/media/W1siZiIsIjU2NDA2OSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=f939ba5415830fa9","","Julie Mehretu","Everywhen"
"https://www.moma.org/media/W1siZiIsIjU5ODI0NyJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=4bbc530e5d1d2154","Thao Nguyen Phan","",""
"https://www.moma.org/media/W1siZiIsIjU4OTgzOSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=4a47207ddf454d14","","Liliana Porter","La montañita"
"https://www.moma.org/media/W1siZiIsIjU4OTg0MCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=3ca731b59ffd44ae","","Liliana Porter","La Tarea"
"https://www.moma.org/media/W1siZiIsIjU4OTgzOCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=7b08ccc0164b484c","","Liliana Porter","La Linea"
"https://www.moma.org/media/W1siZiIsIjYwMjEzOCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=b9acf0d4763ace79","","Cameron Rowland","Ingenio"
"https://www.moma.org/media/W1siZiIsIjU1NjQ1OCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=a164ce9fbc48d8df","","Marion Scemama",""
"https://www.moma.org/media/W1siZiIsIjYxMzczMSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=3d8ceb3c42efc483","","Tschabalala Self","The Refusal"
"https://www.moma.org/media/W1siZiIsIjU5NDA4NSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=185c54e8a896e593","Arinjoy Sen, SHE Kantha (Anima Sarkar, Tapati Roy,Kakoli Mandal, Sabina Bibi, Ajija Khatoon, Manjila Bibi Mondal)","","Bengali Song"
"https://www.moma.org/media/W1siZiIsIjU1Mjg4NSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=f0590275d407ecd2","Slavs and Tatars","",""
"https://www.moma.org/media/W1siZiIsIjU0OTgyOCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=a0dec3060ca31f4d","","Michael Smith",""
"https://www.moma.org/media/W1siZiIsIjYwMDM0NyJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=51acaaaedb4874ae","","Joan Snyder","My August"
"https://www.moma.org/media/W1siZiIsIjU2Nzg5NSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=bbbb4e1b38461d6a","Marina Tabassum,Piplu R. Kahn","",""
"https://www.moma.org/media/W1siZiIsIjU0MTA4NSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=97f29cddd06c525a","","Seth Tillett","East Hamlet"
"https://www.moma.org/media/W1siZiIsIjUzOTY5MiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=8f735a7935171045","","Seth Tillett","L.A."
"https://www.moma.org/media/W1siZiIsIjU4NzIyOCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=99778cb5e27bbfe1","Jibbe van Schie","","Woven Translations"
"https://www.moma.org/media/W1siZiIsIjU4NzIzMCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=2d05b451472f73bd","Jibbe van Schie","","Woven Translations"
"https://www.moma.org/media/W1siZiIsIjU4NzIzMiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=cb8553cb6c605773","Jibbe van Schie","","Woven Translations"
